name,scientificName,description,uses,preparation,location,imageUrl
Echinacea,Echinacea purpurea,"Purple coneflower with daisy-like petals and spiky center cone","Immune system boost, cold prevention, wound healing","Tea from dried flowers and leaves, tincture","North America, temperate regions","https://images.unsplash.com/photo-1584725644424-21cb2fdc3e1b"
Ginkgo,Ginkgo biloba,"Ancient tree with fan-shaped leaves that turn golden in autumn","Memory improvement, circulation, cognitive function","Standardized leaf extract, tea from fresh leaves","China, temperate regions worldwide","https://images.unsplash.com/photo-1584465111679-0a79cd4fa0a0"
Ginseng,Panax ginseng,"Perennial herb with palmately compound leaves and red berries","Energy boost, stress adaptation, cognitive enhancement","Root sliced and steeped in tea, powder in capsules","Korea, China, Russia, North America","https://images.unsplash.com/photo-1584465061999-e04b70ad8135"
Lavender,Lavandula angustifolia,"Aromatic shrub with purple flower spikes and narrow gray-green leaves","Relaxation, sleep aid, anxiety relief, skin healing","Essential oil for aromatherapy, dried flowers in tea","Mediterranean, temperate regions worldwide","https://images.unsplash.com/photo-1615486346788-e5a7e4c0f17b"
Eucalyptus,Eucalyptus globulus,"Tall evergreen tree with aromatic blue-green leaves","Respiratory relief, antiseptic, decongestant","Steam inhalation with leaves, essential oil","Australia, Mediterranean climates","https://images.unsplash.com/photo-1580127566708-f6ae0a1cddd7"
Calendula,Calendula officinalis,"Bright orange marigold flowers with sticky aromatic leaves","Wound healing, skin inflammation, cuts and bruises","Petals in salve or oil, tea from fresh flowers","Mediterranean, temperate regions","https://images.unsplash.com/photo-1584126633652-a3e7b6b1a5b8"
Chamomile,Matricaria chamomilla,"Small daisy-like flowers with white petals and yellow centers","Sleep aid, digestive comfort, anxiety relief, skin soothing","Tea from dried flowers, oil for topical use","Europe, Asia, temperate regions","https://images.unsplash.com/photo-1584725644424-21cb2fdc3e1b"
Dandelion,Taraxacum officinale,"Yellow flowers with deeply toothed leaves and hollow stems","Liver detox, diuretic, digestive support","Young leaves in salad, root tea, flower wine","Temperate regions worldwide","https://images.unsplash.com/photo-1582584047930-8bb74f2a4b09"
Elderberry,Sambucus canadensis,"Shrub with clusters of tiny white flowers and dark purple berries","Immune support, cold and flu relief, antiviral","Berry syrup, tea from dried flowers","North America, Europe, temperate regions","https://images.unsplash.com/photo-1584362917566-6b9e1cfb8b55"
Milk Thistle,Silybum marianum,"Spiny plant with purple thistle flowers and white-veined leaves","Liver protection, detoxification, hepatitis support","Standardized seed extract, ground seeds","Mediterranean, temperate regions","https://images.unsplash.com/photo-1583031843166-b8e2e1b8b7bb"
Plantain,Plantago major,"Broad leaves in rosette pattern with prominent parallel veins","Wound healing, insect bites, respiratory support","Fresh leaves chewed and applied, tea from dried leaves","Temperate regions worldwide","https://images.unsplash.com/photo-1584362917566-6b9e1cfb8b55"
Red Clover,Trifolium pratense,"Pink-red clover flowers with trifoliate leaves","Hormonal balance, menopause support, blood purification","Tea from dried flower heads, tincture","Europe, Asia, North America","https://images.unsplash.com/photo-1584725664424-21cb2fdc3e1b"
Saw Palmetto,Serenoa repens,"Fan palm with dark berries and sharp-pointed leaves","Prostate health, urinary tract support, hair loss","Standardized berry extract, dried berries","Southeastern United States","https://images.unsplash.com/photo-1583031842968-0def8b66d13e"
St. John's Wort,Hypericum perforatum,"Yellow flowers with black dots when crushed, perforated leaves","Mild depression, anxiety, nerve pain","Tea from dried flowers, standardized extract","Europe, Asia, temperate regions","https://images.unsplash.com/photo-1584725644424-21cb2fdc3e1b"
Valerian,Valeriana officinalis,"Tall plant with small white or pink flowers and strong-smelling roots","Sleep disorders, anxiety, nervous tension","Root tea before bedtime, standardized extract","Europe, Asia, North America","https://images.unsplash.com/photo-1584362917566-6b9e1cfb8b55"
Willow Bark,Salix alba,"Tree bark from white willow with narrow leaves","Pain relief, fever reduction, inflammation","Bark tea, standardized extract","Europe, Asia, North America","https://images.unsplash.com/photo-1583031843166-b8e2e1b8b7bb"
Yarrow,Achillea millefolium,"Feathery leaves with flat-topped clusters of small white flowers","Wound healing, fever reduction, digestive support","Tea from dried flowers and leaves, poultice","Temperate regions worldwide","https://images.unsplash.com/photo-1584725644424-21cb2fdc3e1b"
Arnica,Arnica montana,"Yellow daisy-like flowers with hairy stems and oval leaves","Bruises, sprains, muscle soreness, inflammation","Topical cream or oil, homeopathic preparations","Mountain regions of Europe and North America","https://images.unsplash.com/photo-1584126633652-a3e7b6b1a5b8"
Boswellia,Boswellia serrata,"Tree resin from frankincense tree with pinnate leaves","Joint pain, arthritis, inflammation","Standardized resin extract, powder","India, Arabia, Africa","https://images.unsplash.com/photo-1582584047930-8bb74f2a4b09"
Cat's Claw,Uncaria tomentosa,"Woody vine with curved thorns resembling cat claws","Immune support, arthritis, viral infections","Inner bark tea, standardized extract","Amazon rainforest, Central and South America","https://images.unsplash.com/photo-1583031842968-0def8b66d13e"
Dong Quai,Angelica sinensis,"Aromatic herb with divided leaves and white umbel flowers","Women's health, menstrual irregularities, circulation","Root tea, standardized extract","China, Korea, Japan","https://images.unsplash.com/photo-1584362917566-6b9e1cfb8b55"
Evening Primrose,Oenothera biennis,"Yellow four-petaled flowers that open in evening","Hormonal balance, skin conditions, PMS","Oil from seeds, standardized extract","North America, temperate regions","https://images.unsplash.com/photo-1584725644424-21cb2fdc3e1b"
Gotu Kola,Centella asiatica,"Small herb with rounded leaves and tiny white flowers","Wound healing, circulation, cognitive function","Fresh leaves in salad, tea from dried leaves","Asia, Africa, Australia","https://images.unsplash.com/photo-1580991564554-50c8b3bc6ad5"
Hawthorn,Crataegus monogyna,"Thorny shrub with white flowers and red berries","Heart health, circulation, blood pressure","Berry tea, flower and leaf extract","Europe, Asia, North America","https://images.unsplash.com/photo-1584362917566-6b9e1cfb8b55"
Horse Chestnut,Aesculus hippocastanum,"Large tree with palmate leaves and white flower spikes","Varicose veins, circulation, leg swelling","Standardized seed extract, topical preparations","Balkans, temperate regions","https://images.unsplash.com/photo-1583031843166-b8e2e1b8b7bb"
Kava,Piper methysticum,"Shrub with heart-shaped leaves and pepper family characteristics","Anxiety relief, muscle relaxation, sleep aid","Root powder in water, traditional preparation","Pacific Islands, tropical regions","https://images.unsplash.com/photo-1582584047930-8bb74f2a4b09"
Lemon Balm,Melissa officinalis,"Aromatic herb with serrated leaves and lemony scent","Stress relief, sleep aid, digestive comfort","Fresh leaves in tea, essential oil","Europe, Mediterranean, temperate regions","https://images.unsplash.com/photo-1580991564554-50c8b3bc6ad5"
Licorice,Glycyrrhiza glabra,"Perennial herb with compound leaves and purple flowers","Respiratory support, digestive health, adrenal support","Root tea, standardized extract","Europe, Asia, temperate regions","https://images.unsplash.com/photo-1584362917566-6b9e1cfb8b55"
Marshmallow,Althaea officinalis,"Soft downy leaves with pale pink flowers","Digestive soothing, respiratory support, skin healing","Root tea, leaf poultice","Europe, Asia, North Africa","https://images.unsplash.com/photo-1584725644424-21cb2fdc3e1b"
Nettle,Urtica dioica,"Serrated leaves with stinging hairs and small green flowers","Allergies, joint pain, urinary support","Tea from dried leaves, fresh young leaves cooked","Temperate regions worldwide","https://images.unsplash.com/photo-1583031842968-0def8b66d13e"
Passionflower,Passiflora incarnata,"Climbing vine with intricate purple and white flowers","Anxiety relief, sleep disorders, nervous tension","Tea from dried leaves and flowers, extract","Southeastern United States, South America","https://images.unsplash.com/photo-1584725644424-21cb2fdc3e1b"
Rhodiola,Rhodiola rosea,"Succulent with yellow flowers and thick fleshy leaves","Stress adaptation, fatigue, mental performance","Root extract, standardized preparations","Arctic regions, mountains of Europe and Asia","https://images.unsplash.com/photo-1584362917566-6b9e1cfb8b55"
Schisandra,Schisandra chinensis,"Woody vine with red berries and five distinct flavors","Liver health, stress adaptation, mental clarity","Berry tea, standardized extract","China, Russia, Korea","https://images.unsplash.com/photo-1582584047930-8bb74f2a4b09"
Skullcap,Scutellaria lateriflora,"Small herb with blue helmet-shaped flowers","Nervous tension, anxiety, sleep support","Tea from dried leaves, tincture","North America, temperate regions","https://images.unsplash.com/photo-1584725644424-21cb2fdc3e1b"
Slippery Elm,Ulmus rubra,"Tree with rough bark containing mucilaginous inner bark","Digestive soothing, throat irritation, wound healing","Inner bark powder mixed with water","Eastern North America","https://images.unsplash.com/photo-1583031843166-b8e2e1b8b7bb"
Tea Tree,Melaleuca alternifolia,"Small tree with narrow leaves and white bottle-brush flowers","Antiseptic, antifungal, skin infections","Essential oil for topical use, diluted preparations","Australia, temperate regions","https://images.unsplash.com/photo-1580127566708-f6ae0a1cddd7"
White Willow,Salix alba,"Tree with narrow silvery leaves and flexible branches","Pain relief, fever, inflammation","Inner bark tea, standardized extract","Europe, Asia, North America","https://images.unsplash.com/photo-1583031843166-b8e2e1b8b7bb"
Wild Cherry,Prunus serotina,"Tree with dark bark and clusters of white flowers","Cough suppression, respiratory support","Inner bark syrup, tea","Eastern North America","https://images.unsplash.com/photo-1584362917566-6b9e1cfb8b55"
Witch Hazel,Hamamelis virginiana,"Shrub with yellow flowers that bloom in fall","Skin inflammation, wounds, hemorrhoids","Distilled extract, bark and leaf tea","Eastern North America","https://images.unsplash.com/photo-1584126633652-a3e7b6b1a5b8"
Yellow Dock,Rumex crispus,"Tall plant with curly-edged leaves and small greenish flowers","Blood purification, skin conditions, liver support","Root tea, tincture","Europe, Asia, North America","https://images.unsplash.com/photo-1583031842968-0def8b66d13e"
Cardamom,Elettaria cardamomum,"Aromatic spice with green pods containing black seeds","Digestive health, breath freshener, respiratory support","Seeds chewed whole, powder in tea","India, Guatemala, tropical regions","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Cinnamon,Cinnamomum verum,"Inner bark of evergreen tree, sweet and warming spice","Blood sugar regulation, circulation, antimicrobial","Bark powder in food and drinks, essential oil","Sri Lanka, Southern India, tropical regions","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Cloves,Syzygium aromaticum,"Dried flower buds with intense aromatic properties","Dental pain, digestive aid, antimicrobial","Whole cloves chewed, oil for topical use","Indonesia, Madagascar, tropical regions","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Coriander,Coriandrum sativum,"Seeds from cilantro plant with citrusy flavor","Digestive support, blood sugar, anti-inflammatory","Seeds ground into powder, whole seeds in cooking","Mediterranean, Asia, worldwide cultivation","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Cumin,Cuminum cyminum,"Small boat-shaped seeds with earthy, warm flavor","Digestive health, iron source, antimicrobial","Seeds ground fresh, whole seeds toasted","Middle East, India, Mediterranean","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Fennel,Foeniculum vulgare,"Feathery leaves with yellow umbrella flowers and aromatic seeds","Digestive comfort, lactation support, respiratory health","Seeds chewed after meals, tea from crushed seeds","Mediterranean, Asia, temperate regions","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Black Pepper,Piper nigrum,"Climbing vine with small round peppercorns","Digestive stimulation, nutrient absorption, circulation","Fresh ground pepper in food, essential oil","India, Southeast Asia, tropical regions","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Mustard Seed,Brassica nigra,"Small round seeds from mustard plant","Circulation, respiratory congestion, muscle pain","Seeds ground into paste, mustard plaster","Europe, Asia, temperate regions","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Nutmeg,Myristica fragrans,"Seed kernel from tropical evergreen tree","Digestive aid, sleep support, pain relief","Freshly grated in small amounts, essential oil","Indonesia, Grenada, tropical regions","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Star Anise,Illicium verum,"Star-shaped fruit with eight pointed pods","Respiratory support, digestive health, antimicrobial","Whole stars in tea, ground powder","China, Vietnam, Southeast Asia","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Ajwain,Trachyspermum ammi,"Small oval seeds with thyme-like aroma","Digestive disorders, respiratory issues, antimicrobial","Seeds chewed raw, water infusion","India, Middle East, Africa","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Asafoetida,Ferula assa-foetida,"Resinous gum from perennial herb with strong odor","Digestive gas, bloating, respiratory congestion","Tiny pinch in cooking, dissolved in warm water","Afghanistan, Iran, Kashmir","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Bay Leaves,Laurus nobilis,"Aromatic leaves from Mediterranean evergreen tree","Digestive support, antimicrobial, respiratory health","Dried leaves in cooking, tea infusion","Mediterranean, Asia Minor","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Carom Seeds,Trachyspermum ammi,"Small brown seeds with bitter taste and strong aroma","Indigestion, gas, respiratory problems","Seeds chewed or made into tea","India, Middle East, Africa","https://images.Unsplash.com/photo-1606804982027-3c95db10b48b"
Dill Seeds,Anethum graveolens,"Small oval seeds with sweet aromatic flavor","Digestive health, lactation support, breath freshener","Seeds chewed or tea preparation","Europe, Asia, Mediterranean","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Celery Seeds,Apium graveolens,"Tiny brown seeds with strong celery flavor","Diuretic, joint health, blood pressure support","Seeds ground or whole in cooking","Europe, Mediterranean, temperate regions","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Nigella,Nigella sativa,"Small black seeds from flowering plant","Immune support, respiratory health, digestive aid","Seeds eaten raw or oil extraction","Middle East, South Asia, Mediterranean","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Poppy Seeds,Papaver somniferum,"Small kidney-shaped seeds from opium poppy","Digestive health, calcium source, sleep support","Seeds in baking and cooking preparations","Turkey, Czech Republic, India","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Sesame Seeds,Sesamum indicum,"Small flat seeds with nutty flavor","Bone health, heart health, skin nourishment","Seeds eaten raw, oil extraction","Africa, India, Middle East","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Sunflower Seeds,Helianthus annuus,"Large seeds from sunflower heads","Heart health, vitamin E, anti-inflammatory","Seeds eaten raw or roasted","North America, worldwide cultivation","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Pumpkin Seeds,Cucurbita pepo,"Flat green seeds from pumpkin","Prostate health, immune support, mineral rich","Seeds roasted and eaten","North America, worldwide cultivation","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Flax Seeds,Linum usitatissimum,"Small brown seeds high in omega-3 fatty acids","Heart health, digestive fiber, hormonal balance","Seeds ground fresh, oil extraction","Europe, Asia, North America","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Chia Seeds,Salvia hispanica,"Small black and white seeds that form gel when wet","Omega-3 fatty acids, fiber, sustained energy","Seeds soaked in liquid, added to foods","Mexico, Central America","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Hemp Seeds,Cannabis sativa,"Small brown seeds with nutty flavor","Protein source, omega fatty acids, skin health","Seeds eaten raw, oil extraction","Central Asia, worldwide cultivation","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Psyllium,Plantago ovata,"Small seeds from plantain plant","Digestive fiber, cholesterol reduction, bowel regularity","Seed husks mixed with water","India, Mediterranean, Iran","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Amaranth,Amaranthus caudatus,"Small seeds from tall flowering plant","Protein source, gluten-free grain, mineral rich","Seeds cooked like grain, ground into flour","South America, Asia, Africa","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Quinoa,Chenopodium quinoa,"Small round seeds with complete protein profile","Protein source, gluten-free, mineral rich","Seeds cooked like rice, ground into flour","South America, Andes mountains","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Buckwheat,Fagopyrum esculentum,"Triangular seeds from flowering plant","Heart health, blood sugar control, gluten-free","Seeds cooked as grain, ground into flour","Central Asia, Europe, North America","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Millet,Panicum miliaceum,"Small round seeds from grass family","Gluten-free grain, mineral rich, alkaline","Seeds cooked like rice, ground into flour","Africa, Asia, Europe","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Barley,Hordeum vulgare,"Oval grains from cereal grass","Cholesterol reduction, blood sugar control, fiber","Grains cooked in soups, ground into flour","Middle East, worldwide cultivation","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Oats,Avena sativa,"Oval grains from cereal grass","Heart health, cholesterol reduction, sustained energy","Grains cooked as porridge, ground into flour","Europe, North America, temperate regions","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Brown Rice,Oryza sativa,"Whole grain rice with bran layer intact","Blood sugar control, fiber, B vitamins","Grains cooked and eaten whole","Asia, worldwide cultivation","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Wild Rice,Zizania aquatica,"Long black grains from aquatic grass","Protein, minerals, antioxidants","Grains cooked longer than regular rice","North America, Great Lakes region","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Black Rice,Oryza sativa,"Dark purple rice with high antioxidants","Antioxidants, heart health, anti-inflammatory","Grains cooked like regular rice","Asia, China, India","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Red Rice,Oryza sativa,"Reddish rice with nutty flavor","Antioxidants, fiber, heart health","Grains cooked with extra water","Asia, Bhutan, France","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Wheat,Triticum aestivum,"Cereal grain from grass family","Energy source, B vitamins, fiber","Grains ground into flour for bread","Middle East, worldwide cultivation","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Rye,Secale cereale,"Hardy cereal grain with dense nutrient profile","Blood sugar control, digestive health, minerals","Grains ground into flour, cooked whole","Europe, Russia, North America","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Spelt,Triticum spelta,"Ancient wheat variety with nutty flavor","Protein, minerals, easier digestion","Grains ground into flour, cooked whole","Europe, Middle East","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Emmer,Triticum dicoccum,"Ancient wheat with hard hulls","Protein, fiber, minerals","Grains cooked whole, ground into flour","Middle East, Italy, Ethiopia","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Einkorn,Triticum monococcum,"Ancient single-grain wheat","Digestible protein, nutrients","Grains ground into flour","Middle East, Europe","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Teff,Eragrostis tef,"Tiny seeds from Ethiopian grass","Complete protein, calcium, iron","Seeds ground into flour, cooked as porridge","Ethiopia, Africa","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Sorghum,Sorghum bicolor,"Round grains from drought-resistant grass","Gluten-free, antioxidants, protein","Grains cooked like rice, ground into flour","Africa, Asia, Americas","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Pearl Millet,Pennisetum glaucum,"Small round grains from tropical grass","Iron, protein, drought-resistant crop","Grains cooked as porridge, ground into flour","Africa, India, arid regions","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Finger Millet,Eleusine coracana,"Small red grains rich in calcium","Calcium, protein, minerals","Grains ground into flour, cooked as porridge","Africa, India, Nepal","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Foxtail Millet,Setaria italica,"Small yellow grains from ancient grass","Protein, minerals, gluten-free","Grains cooked like rice, ground into flour","China, India, Europe","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Proso Millet,Panicum miliaceum,"Small round grains with mild flavor","Alkaline grain, minerals, protein","Grains cooked as porridge, ground into flour","Asia, Europe, North America","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Job's Tears,Coix lacryma-jobi,"Large tear-shaped grains","Anti-inflammatory, diuretic, skin health","Grains cooked as soup, ground into flour","Asia, tropical regions","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Bamboo Rice,Bambusa arundinacea,"Rice-like seeds from bamboo flowers","Rare delicacy, nutrients","Grains cooked like rice","India, Southeast Asia","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Water Chestnut,Eleocharis dulcis,"Crunchy aquatic tuber","Cooling properties, digestive health","Fresh tubers eaten raw or cooked","Asia, China, India","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Lotus Seeds,Nelumbo nucifera,"Seeds from sacred lotus flower","Heart health, calming properties, protein","Seeds eaten fresh or dried","Asia, India, China","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Fox Nuts,Euryale ferox,"Puffed seeds from aquatic plant","Protein, anti-aging, kidney health","Seeds roasted and eaten as snack","India, China, Japan","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Pine Nuts,Pinus pinea,"Edible seeds from pine cones","Heart health, energy, vitamin E","Seeds eaten raw or toasted","Mediterranean, Asia, North America","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Almonds,Prunus dulcis,"Oval nuts from almond tree","Heart health, vitamin E, protein","Nuts eaten raw or roasted","Middle East, California, Mediterranean","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Walnuts,Juglans regia,"Brain-shaped nuts with omega-3 fatty acids","Brain health, heart health, omega-3s","Nuts eaten raw or in cooking","Persia, California, Europe","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Cashews,Anacardium occidentale,"Kidney-shaped nuts from tropical tree","Heart health, magnesium, protein","Nuts eaten raw or roasted","Brazil, India, Africa","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Pistachios,Pistacia vera,"Small green nuts in shells","Heart health, protein, antioxidants","Nuts eaten raw or roasted","Middle East, California, Mediterranean","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Hazelnuts,Corylus avellana,"Round nuts from hazel tree","Heart health, vitamin E, folate","Nuts eaten raw or roasted","Turkey, Italy, Oregon","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Pecans,Carya illinoinensis,"Oval nuts with rich buttery flavor","Heart health, antioxidants, healthy fats","Nuts eaten raw or in baking","Southern United States, Mexico","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Brazil Nuts,Bertholletia excelsa,"Large triangular nuts high in selenium","Selenium, thyroid health, antioxidants","Nuts eaten raw, 1-2 per day maximum","Amazon rainforest, Brazil","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Macadamia,Macadamia integrifolia,"Round buttery nuts from Australian tree","Heart health, monounsaturated fats","Nuts eaten raw or roasted","Australia, Hawaii, California","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
Coconut,Cocos nucifera,"Large nuts from coconut palm","Medium-chain fatty acids, electrolytes","Fresh coconut water and meat","Tropical coastal regions worldwide","https://images.unsplash.com/photo-1599010762851-2c11853e6740"
Chestnuts,Castanea sativa,"Starchy nuts from chestnut tree","Vitamin C, complex carbohydrates","Nuts roasted and peeled","Europe, Asia, North America","https://images.unsplash.com/photo-1606804982027-3c95db10b48b"
